duplicate_type,value,count,source_students,global_project_ids
same_project_url,http://doi.org/10.5255/UKDA-SN-7639-9,3,23460503;23460503;23460503,53298;53513;53634
same_project_url,http://doi.org/10.5255/UKDA-SN-7641-9,3,23460503;23460503;23460503,53299;53514;53635
same_project_url,http://doi.org/10.5255/UKDA-SN-8066-1,3,23460503;23460503;23460503,53327;53555;53666
same_project_url,http://doi.org/10.5255/UKDA-SN-808-1,2,23460503;23460503,54506;54702
same_project_url,http://doi.org/10.5255/UKDA-SN-8128-1,2,23460503;23460503,53378;53727
same_project_url,http://doi.org/10.5255/UKDA-SN-8129-1,2,23460503;23460503,54467;54632
same_project_url,http://doi.org/10.5255/UKDA-SN-8162-1,2,23460503;23460503,54449;54627
same_project_url,http://doi.org/10.5255/UKDA-SN-8186-1,2,23460503;23460503,54514;54677
same_project_url,http://doi.org/10.5255/UKDA-SN-8190-2,2,23460503;23460503,54192;54454
same_project_url,http://doi.org/10.5255/UKDA-SN-8350-1,2,23460503;23460503,54515;54678
same_project_url,http://doi.org/10.5255/UKDA-SN-8465-2,3,23460503;23460503;23460503,53322;53550;53667
same_project_url,http://doi.org/10.5255/UKDA-SN-8494-1,2,23460503;23460503,54516;54679
same_project_url,http://doi.org/10.5255/UKDA-SN-8502-5,2,23460503;23460503,52979;52981
same_project_url,http://doi.org/10.5255/UKDA-SN-8518-1,2,23460503;23460503,53705;53998
same_project_url,http://doi.org/10.5255/UKDA-SN-8539-1,2,23460503;23460503,53706;53999
same_project_url,http://doi.org/10.5255/UKDA-SN-8543-1,2,23460503;23460503,53233;53429
same_project_url,http://doi.org/10.5255/UKDA-SN-8630-3,2,23460503;23460503,54512;54687
same_project_url,http://doi.org/10.5255/UKDA-SN-8663-7,2,23460503;23460503,54441;54640
same_project_url,http://doi.org/10.5255/UKDA-SN-8670-1,2,23460503;23460503,54416;54601
same_project_url,http://doi.org/10.5255/UKDA-SN-8688-3,2,23460503;23460503,54237;54508
same_project_url,http://doi.org/10.5255/UKDA-SN-8689-3,2,23460503;23460503,53122;53216
same_project_url,http://doi.org/10.5255/UKDA-SN-8745-2,2,23460503;23460503,54513;54688
same_project_url,http://doi.org/10.5255/UKDA-SN-8782-1,2,23460503;23460503,54198;54460
same_project_url,http://doi.org/10.5255/UKDA-SN-8783-1,2,23460503;23460503,54132;54382
same_project_url,http://doi.org/10.5255/UKDA-SN-8918-1,2,23460503;23460503,53764;54067
same_project_url,http://doi.org/10.5255/UKDA-SN-8988-1,2,23460503;23460503,53141;53231
same_project_url,http://doi.org/10.5255/UKDA-SN-8990-1,2,23460503;23460503,54559;54753
same_project_url,http://doi.org/10.5255/UKDA-SN-9057-1,2,23460503;23460503,54424;54600
same_project_url,http://doi.org/10.5255/UKDA-SN-9076-1,2,23460503;23460503,54190;54453
same_project_url,http://doi.org/10.5255/UKDA-SN-9120-1,2,23460503;23460503,53642;53902
same_project_url,http://doi.org/10.5255/UKDA-SN-9158-2,2,23460503;23460503,53640;53877
same_project_url,http://doi.org/10.5255/UKDA-SN-9159-3,2,23460503;23460503,53372;53732
same_project_url,http://doi.org/10.5255/UKDA-SN-9194-1,2,23460503;23460503,53142;53230
same_project_url,http://doi.org/10.5255/UKDA-SN-9231-1,2,23460503;23460503,54189;54452
same_project_url,http://doi.org/10.5255/UKDA-SN-9232-1,2,23460503;23460503,54501;54661
same_project_url,http://doi.org/10.5255/UKDA-SN-9290-1,2,23460503;23460503,53665;53943
same_project_url,http://doi.org/10.5255/UKDA-SN-9318-2,2,23460503;23460503,53647;53907
same_project_url,http://doi.org/10.5255/UKDA-SN-9333-1,2,23460503;23460503,53097;53190
same_project_url,http://doi.org/10.5255/UKDA-SN-9334-1,2,23460503;23460503,53098;53191
same_project_url,http://doi.org/10.5255/UKDA-SN-9373-1,2,23460503;23460503,53580;53824
same_project_url,http://doi.org/10.5255/UKDA-SN-9374-1,2,23460503;23460503,53581;53825
same_project_url,http://doi.org/10.5255/UKDA-SN-9375-1,3,23460503;23460503;23460503,53339;53568;53676
same_project_url,http://doi.org/10.5255/UKDA-SN-9376-1,3,23460503;23460503;23460503,53340;53569;53677
same_project_url,http://doi.org/10.5255/UKDA-SN-9377-1,2,23460503;23460503,53582;53826
same_project_url,http://doi.org/10.5255/UKDA-SN-9378-1,3,23460503;23460503;23460503,53341;53570;53678
same_project_url,http://doi.org/10.5255/UKDA-SN-9386-1,3,23460503;23460503;23460503,53293;53502;53609
same_project_url,http://doi.org/10.5255/UKDA-SN-9411-1,3,23460503;23460503;23460503,53316;53541;53606
same_project_url,http://doi.org/10.5255/UKDA-SN-9412-2,2,23460503;23460503,53170;53261
same_project_url,http://doi.org/10.5255/UKDA-SN-9449-1,3,23460503;23460503;23460503,53294;53503;53610
same_project_url,http://doi.org/10.5255/UKDA-SN-9518-1,2,23460503;23460503,54184;54450
same_project_url,http://dx.doi.org/10.20366/unimib/unidata/SN192-1.1,2,23460503;23460503,53096;53197
